Make,Sales
TESLA,49764
NISSAN,12834
CHEVROLET,10044
FORD,5617
BMW,4641
KIA,4371
TOYOTA,4313
VOLVO,2434
VOLKSWAGEN,2370
AUDI,2294
CHRYSLER,1770
HYUNDAI,1286
JEEP,1101
